231	5	44
318	58	167
8	16	72
51	16	164
295	70	163
246	51	148
250	5	187
210	11	91
93	16	108
293	69	257
223	24	54
245	22	33
251	11	175
256	39	233
55	16	108
104	24	323
340	18	144
246	45	308
276	71	278
85	17	19
3	6	146
283	58	237
105	6	249
268	11	175
291	47	278
344	11	217
156	71	324
297	16	72
160	47	278
247	58	216
281	11	96
288	58	237
326	37	335
96	1	251
126	60	91
137	1	151
222	5	290
332	51	148
220	67	203
235	55	227
47	48	61
66	24	213
230	71	324
169	69	45
62	2	106
62	38	12
282	70	148
192	24	93
150	48	166
263	58	167
27	18	47
58	11	96
88	16	226
344	1	224
71	25	191
219	0	338
313	24	280
20	46	47
190	41	344
166	56	177
25	28	207
185	17	339
236	37	335
240	17	49
246	17	271
190	67	200
313	0	288
16	39	238
265	11	230
307	55	25
219	16	235
288	24	198
309	41	196
20	67	54
123	1	220
77	55	313
145	24	300
11	60	191
247	71	246
24	67	280
37	5	125
147	70	94
222	46	214
126	39	31
93	22	33
180	18	144
239	16	329
113	51	148
220	18	101
250	24	69
253	18	101
15	46	144
67	39	326
194	71	196
98	16	235
272	22	230
63	39	95
154	71	324
56	17	331
281	46	186
32	55	115
32	41	139
246	6	205
106	16	108
109	26	139
159	11	175
237	17	194
253	41	323
16	60	107
299	1	119
219	70	2
70	1	94
43	58	216
155	67	6
148	55	222
329	0	302
294	0	99
272	55	88
189	38	23
20	41	234
298	18	128
146	41	210
84	60	239
114	67	232
141	18	128
23	71	38
37	11	91
166	62	215
319	2	76
100	67	309
256	46	144
32	62	301
308	26	4
33	1	223
212	11	175
115	67	310
84	60	128
100	17	283
318	60	62
259	55	279
148	18	144
96	71	153
201	69	279
213	67	254
12	1	251
345	70	163
59	69	139
286	71	322
247	39	41
192	5	236
184	58	338
301	6	136
115	70	17
23	71	278
145	67	104
121	7	142
250	28	268
302	68	10
237	46	144
222	0	208
242	69	139
219	68	194
207	60	229
318	71	324
344	6	236
136	11	175
235	71	324
61	0	25
254	0	210
5	17	156
324	24	297
212	41	337
89	48	20
234	11	122
334	60	189
49	60	186
133	1	231
230	58	277
340	41	105
320	16	235
202	68	123
27	16	226
198	16	60
309	41	37
42	71	153
35	56	147
57	17	124
318	18	186
180	58	338
166	41	256
221	6	266
48	20	293
82	47	48
210	58	167
301	41	11
329	54	99
70	60	101
175	0	62
16	2	246
77	39	118
238	47	152
301	71	56
214	48	61
108	62	4
319	2	143
337	0	4
124	24	190
299	58	338
210	67	19
99	0	73
55	16	60
152	6	141
43	1	31
43	60	39
313	11	175
6	16	108
197	18	128
153	60	214
155	1	144
306	10	122
181	38	210
186	48	20
229	24	246
287	17	253
108	62	11
241	46	144
8	70	94
75	24	190
119	11	308
198	42	306
169	57	157
249	58	161
156	67	31
152	70	94
72	60	342
258	39	241
284	27	56
62	58	277
117	16	226
144	1	137
61	39	236
210	41	85
236	41	115
331	24	128
230	26	25
332	5	198
186	43	181
29	16	164
96	17	309
85	16	329
277	1	227
26	16	60
27	60	39
138	51	163
196	11	230
195	24	32
218	60	181
297	46	47
57	1	167
248	2	76
310	16	226
29	0	21
148	3	148
250	51	260
161	60	98
75	18	47
82	42	154
105	1	242
3	51	148
319	25	173
332	70	94
51	0	232
12	1	156
37	16	259
37	18	47
333	55	172
80	42	306
242	39	182
284	1	139
113	41	318
307	55	120
308	67	284
322	16	72
345	71	322
107	18	128
11	70	94
308	41	165
22	55	1
9	0	97
47	67	341
225	71	196
25	17	125
26	42	117
256	51	17
133	68	180
82	67	247
90	71	38
266	8	99
42	6	142
84	24	35
340	58	167
317	11	217
61	71	212
142	16	235
281	39	79
199	2	265
345	41	256
326	58	161
206	39	55
59	46	128
305	57	35
110	67	261
71	10	175
78	24	298
128	41	262
104	60	171
104	68	14
116	0	67
309	60	199
309	16	164
115	2	99
242	16	60
101	39	63
98	0	277
296	60	191
9	18	144
23	17	66
150	17	238
27	48	20
128	67	282
118	1	55
160	47	322
256	24	155
250	24	304
218	60	23
170	42	265
236	70	94
136	58	277
61	16	108
142	1	84
230	48	166
34	55	179
217	52	77
297	41	210
277	24	285
175	64	181
274	70	260
115	46	101
78	60	89
292	2	217
331	39	49
196	0	0
192	16	22
172	41	172
53	41	269
186	43	23
263	24	283
286	39	100
225	7	281
90	1	247
42	71	196
219	0	135
254	68	31
287	6	276
51	11	308
283	67	288
214	39	310
266	67	310
27	39	267
159	46	47
126	70	260
159	0	101
230	39	343
26	2	316
51	18	101
242	39	147
280	18	144
37	17	134
55	70	163
252	41	152
138	16	60
3	58	285
46	18	186
184	16	108
142	70	112
334	2	94
138	39	137
235	22	189
149	16	108
129	46	186
80	69	63
284	70	2
108	0	315
37	71	278
312	60	150
256	1	44
266	33	311
18	18	186
325	2	288
84	24	27
297	41	196
37	2	212
329	54	124
77	58	161
119	1	105
244	2	300
291	2	137
310	1	22
90	67	288
167	68	48
131	41	88
142	70	260
229	15	225
249	16	235
330	71	324
66	71	324
138	11	122
231	28	126
192	41	1
19	70	94
222	18	101
225	24	178
215	17	309
186	16	108
252	53	39
155	60	98
300	0	167
254	16	259
262	17	294
135	39	247
138	17	310
157	17	284
204	32	70
69	24	272
132	41	324
185	18	47
55	46	128
44	71	322
163	16	259
305	17	50
288	57	20
308	16	22
9	17	102
229	39	339
262	41	257
310	2	305
313	41	85
169	69	115
212	70	17
2	11	217
55	22	107
42	11	107
139	17	273
175	71	322
253	42	154
145	18	186
28	0	327
85	5	287
247	0	26
251	70	93
288	42	117
139	1	214
227	28	335
213	16	226
66	60	304
78	11	122
340	0	139
265	60	101
269	70	93
139	67	78
301	67	24
318	67	274
27	17	258
124	29	68
327	16	259
285	17	282
206	17	73
280	58	237
3	17	321
227	58	285
286	55	4
108	22	175
210	6	335
159	42	71
148	22	181
194	60	101
299	67	83
19	42	180
133	69	318
302	17	119
161	70	17
227	18	128
285	67	297
218	46	101
246	60	109
104	71	322
244	41	196
7	16	60
21	67	7
48	0	182
27	0	84
78	16	259
260	16	72
5	26	257
311	68	301
333	41	301
6	47	38
157	2	177
294	68	205
328	58	167
262	51	17
248	67	7
233	17	73
114	67	237
337	46	128
181	26	4
194	69	45
238	42	249
318	6	316
80	58	285
